sku;Brand;Description;Final_price;Original_price;Discount;Regular_price;Regular_price_measure;Regular_price_un;timestamp
386161;ROYAL;Gelatina Royal Light Cereza 25grs;419.0;;;1676.0;100;gr;2023-12-27 14:41:54.478
2817;9 DE ORO;Bizcochos De Grasa 9 De Oro 200 Gr;1037.0;;;5185.0;1;kg;2023-12-27 14:41:54.478
4781;MOGUL;Gomitas Mogul Jelly Buttons 1 Kg;4824.0;;;4824.0;1;kg;2023-12-27 14:41:54.478
34405;TIC TAC;Pastillas Tic Tac Mix De Frutas 33 U;176.07;;;1100.44;100;gr;2023-12-27 14:41:54.478
30314;LA CAMPAGNOLA;Aderezo Ketchup La Campagnola 250 Gr;492.0;;;1968.0;1;kg;2023-12-27 14:41:54.478
46317;CACHAFAZ;Alfajores Cachafaz Negros 360g;5864.0;;;16288.89;1;kg;2023-12-27 14:41:54.478
312502;STARBUCKS;Starbucks® Nespresso® House Blend X 10u.;4185.47;;;418.55;1;un;2023-12-27 14:41:54.478
13916;OLIOVITA;Aceite De Oliva Oliovita Extra Virgen Clásico 500 Ml;8192.35;;;16384.7;1;lt;2023-12-27 14:41:54.478
352161;KNORR;Pure De Papas Knorr Receta Completa Listo X125g;724.0;;;5792.0;1;kg;2023-12-27 14:41:54.478
309293;CUISINE & CO NBE MP;Tostadas Finas light 140gr C&co;1130.93;;;8078.07;1;kg;2023-12-27 14:41:54.478
15593;TERRABUSI;Alfajor Triple Terrabusi Clásico 70g;392.63;;;5609.0;1;kg;2023-12-27 14:41:54.478
386822;PRINGLES;Papas Pringles Queso X124gs;1856.96;;;15474.67;1;kg;2023-12-27 14:41:54.478
348529;UNION;Mate Cocido Union 25 Saq;519.87;;;6931.6;1;kg;2023-12-27 14:41:54.478
28478;AMANDA;Yerba Amanda Con Palo Px4;1257.0;;;2514.0;1;kg;2023-12-27 14:41:54.478
342885;ALICANTE;Pimenton Alicante St X50g;947.0;;;1894.0;100;gr;2023-12-27 14:41:54.478
28200;CACHAFAZ;Galletitas Integral Cachafaz Avena Y Pasas 225 Gr;1487.0;;;6608.89;1;kg;2023-12-27 14:41:54.478
343316;CEREAL MIX;Barra Cereal Mix Yoghurt Frutilla Light X104gr;1294.0;;;12442.31;1;kg;2023-12-27 14:41:54.478
340069;CUISINE & CO NBE MP;Galles Con Avena Y Coco Con Chips 186 Gr C&co;789.73;;;4245.86;1;kg;2023-12-27 14:41:54.478
392447;NESQUIK;Nesquik® Original Polvo Chocolatado Menos Azúcar X 300gr;2058.74;;Llevando 2: $1.235,24 c/u;6862.47;1;kg;2023-12-27 14:41:54.478
301338;GRANIX;Galletitas Granix Salvado X240gr;479.15;;;1996.46;1;kg;2023-12-27 14:41:54.478
386149;BIMBO;Pan Brioche De Hamburguesa Artesano X 4u;1658.0;;;6908.33;1;kg;2023-12-27 14:41:54.478
342875;ALICANTE;Coco Rallado Alicante St X50g;509.0;;;10.18;1;lt;2023-12-27 14:41:54.478
2757;HOJALMAR;Galletitas Hojalmar Larguitas De Hojaldre 150 Gr;414.0;;;2760.0;1;kg;2023-12-27 14:41:54.478
318736;TARAGUI;Yerba Mate Taragui 4flex Sin Palo 500g;1416.5;;;2833.0;1;kg;2023-12-27 14:41:54.478
306619;BIGGYS;Pochoclo Acaramelados Biggys X 60gr;312.0;;;5200.0;1;kg;2023-12-27 14:41:54.478
400254;PASTA SOLE;Fideos Pasta Sole Tirabuzon X500 Gr;621.08;;;1242.16;1;kg;2023-12-27 14:41:54.478
339714;OPERA;Galletitas Obleas Opera Chocolate X68g;410.0;;;6029.41;1;kg;2023-12-27 14:41:54.478
5734;FRUTIGRAN;Galletitas Frutigran Avena Y Pasas 250 Gr;758.69;;;3034.76;1;kg;2023-12-27 14:41:54.478
312509;STARBUCKS;Starbucks® Nespresso® Pike Place X 10un;4185.47;;;418.55;1;un;2023-12-27 14:41:54.478
342880;ALICANTE;Bicarbonato De Sodio Alicante St X50g;375.0;;;750.0;100;gr;2023-12-27 14:41:54.478
386164;ROYAL;Gelatina Royal Frutos Rojos 25g;419.0;;;1676.0;100;gr;2023-12-27 14:41:54.478
387604;KRACH-ITOS;Papas Krach-itos Corte Americano X115g;1331.0;;;11573.91;1;kg;2023-12-27 14:41:54.478
