Brand;Description;Final_price;Original_price;Discount;Regular_price
CBSE;Yerba Mate Cbsé Naranja X500g;$1.555,85;2do al 50%;Llevando 2: $1.166,89 c/u;Precio regular: $3.111,7 x kg
CUISINE & CO NBE MP;Lentejas Secas Cuisine & Co 400gr;$1.026,17;;;Precio regular: $2.565,43 x kg
ROCKLET´S;Confites Rocklet´s Chocolate;$280;;;Precio regular: $1.400 x 100 gr.
DOS HERMANOS;Galleta De Arroz Slim Dos Hermanos Salada X100 Gr;$545,13;;;Precio regular: $5.451,3 x kg
CUISINE & CO NBE MP;Tostadas De Arroz Aireadas 110 Gr C&co;$665,48;;;Precio regular: $6.049,82 x kg
CUISINE & CO NBE MP;Choclo S/sal Agregada Cuisine & Co 300gr;$1.120;;;Precio regular: $5.463,41 x kg
TITA;Tita Clásica 19g;$276;2x1;Llevando 2: $138.00 c/u;Precio regular: $1.452,63 x 100 gr.
TARAGUI;Mate Cocido Taragui S/e F.diamantado 4x100x3gr;$1.852,02;;;Precio regular: $6.173,4 x kg
LUCHETTI;Fideos Lucchetti Mostachol N51 X500g;$1.026;;;Precio regular: $2.052 x kg
CUISINE & CO NBE MP;Pionono Vainilla Cuisine & Co 200gr;$1.350,96;2do al 70%;Llevando 2: $878,12 c/u;Precio regular: $6.754,8 x kg
ROSAMONTE;Yerba Mate Rosamonte Con Palo Suave 500 Gr;$1.397,75;;;Precio regular: $2.795,5 x kg
ARCOR;Mermelada Arcor Damasco Fruta X454g;$951;;;Precio regular: $2.094,71 x kg
CUISINE & CO NBE MP;Madalenas Vainilla Con Dulce De Leche C&co 180 Gr;$776,88;;;Precio regular: $4.316 x kg
STARBUCKS;Starbucks® Nespresso® Espresso Roast X 10un;$4.185,47;;;Precio regular: $418,55 x un
Molinos Ala;Tostadas Arroz Molinos Ala Integ X150g;$616,19;;;Precio regular: $4.107,93 x kg
MAGGI;Maggi® Puré Original X 100gr;$572,16;;;Precio regular: $5.721,6 x kg
VARIEDAD;Galletitas Dulces Variedad De Terrabusi Nuevo Mix 590g;$1.445;;;Precio regular: $2.408,33 x kg
MILK;Alfajor Triple Milka Mousse Blanco 55g;$586;;;Precio regular: $10.654,55 x kg
STARBUCKS;Starbucks® Nespresso® House Blend X 10u.;$4.185,47;;;Precio regular: $418,55 x un
MAIZENA;Almidon De Maiz Maizena Sin Tacc X500g;Llevando 2: $NaN c/u;;;Precio regular: $1.712 x kg
LA VIRGINIA;Cafe La Virginia Capsulas Sutil X52g;$3.781;;;Precio regular: $378,10 x un
ARCOR;Garbanzos Arcor X300g;$414;;;Precio regular: $1.380 x kg
CACHAFAZ;Alfajores Cachafaz Negros 360g;$5.864;;;Precio regular: $16.288,89 x kg
FLOW;Barra Flow Almendras Enteras Con Piso De Chocolate X30g;$195,94;;;Precio regular: $653,13 x 100 gr.
ROYAL;Gelatina Royal Light Cereza 25grs;$419;;;Precio regular: $1.676 x 100 gr.
HELLMANN´S;Mayonesa Hellmanns Clasica X237g;Llevando 2: $NaN c/u;;;Precio regular: $1.178,67 x kg
BON O BON;Bombones Bon O Bon Surtidos 255 Gr;$2.827;3x2;Llevando 3: $1884.67 c/u;Precio regular: $11.086,27 x kg
AMANDA;Yerba Amanda Con Palo Px4;$1.257;;;Precio regular: $2.514 x kg
LA CAMPAGNOLA;Aderezo Ketchup La Campagnola 250 Gr;Llevando 2: $NaN c/u;;;Precio regular: $1.968 x kg
TIC TAC;Pastillas Tic Tac Mix De Frutas 33 U;$176,07;;;Precio regular: $1.100,44 x 100 gr.
CUISINE & CO NBE MP;Aceite De Oliva Virgen 500ml Cuisine & Co;$7.374,38;;;Precio regular: $14.748,76 x lt
CEREAL MIX;Barra Cereal Mix Yoghurt Frutilla Light X104gr;$1.294;;;Precio regular: $12.442,31 x kg
CUISINE & CO NBE MP;Filet Anchoas Cuisine & Co 90 Gr;$2.309;-20%;$2.891,2;Precio regular: $32.124,44 x kg
UNION;Mate Cocido Union 25 Saq;$519,87;;;Precio regular: $6.931,6 x kg
CUISINE & CO NBE MP;Sardinas En Aceite cuisine & Co 160gr;$1.409;-20%;$1.763,55;Precio regular: $16.637,26 x kg
