Brand;Description;Final_price;Original_price;Discount;Regular_price;sku
ROYAL;Flan Royal Vainilla 60g;$151;;;Precio regular: $2.516,67 x kg;389911
BARILLA;Fideos Spaghetti Barilla 500 Gr;$5.868,15;;;Precio regular: $11.736,3 x kg;27836
CUISINE & CO NBE MP;Pionono Vainilla Cuisine & Co 200gr;$1.350,96;;;Precio regular: $6.754,8 x kg;330330
LUCHETTI;Fideos Lucchetti Mostachol N51 X500g;$1.026;;;Precio regular: $2.052 x kg;403670
BELDENT;Chicle Sabor Chicle Globo Beldent 20g;$400;;;Precio regular: $4.000 x 100 gr.;329810
DOS HERMANOS;Galleta De Arroz Slim Dos Hermanos Salada X100 Gr;$545,13;;;Precio regular: $5.451,3 x kg;245363
CBSE;Yerba Mate Cbsé Hierbas Serranas X500g;$1.555,85;;;Precio regular: $3.111,7 x kg;331007
CUISINE & CO NBE MP;Choclo S/sal Agregada Cuisine & Co 300gr;$1.120;;;Precio regular: $5.463,41 x kg;343445
CUISINE & CO NBE MP;Lentejas Secas Cuisine & Co 400gr;$1.026,17;;;Precio regular: $2.565,43 x kg;342227
MAGGI;Maggi® Puré Original X 100gr;$572,16;;;Precio regular: $5.721,6 x kg;399828
CUISINE & CO NBE MP;Tostadas De Arroz Aireadas 110 Gr C&co;$665,48;;;Precio regular: $6.049,82 x kg;306168
TITA;Tita Clásica 19g;$276;;;Precio regular: $1.452,63 x 100 gr.;330894
TARAGUI;Mate Cocido Taragui S/e F.diamantado 4x100x3gr;$1.852,02;;;Precio regular: $6.173,4 x kg;320479
CBSE;Yerba Mate Cbsé Naranja X500g;$1.555,85;;;Precio regular: $3.111,7 x kg;331011
CUISINE & CO NBE MP;Pionono Salado Cuisine & Co;$1.350,96;;;Precio regular: $6.754,8 x kg;330327
VARIEDAD;Galletitas Dulces Variedad De Terrabusi Nuevo Mix 590g;$1.445;;;Precio regular: $2.408,33 x kg;387759
FRUTIGRAN;Galletitas Frutigran Con Chips De Chocolate 255 Gr;$774,52;;;Precio regular: $3.037,33 x kg;32988
CUISINE & CO NBE MP;Madalenas Vainilla Con Dulce De Leche C&co 180 Gr;$776,88;;;Precio regular: $4.316 x kg;384164
MILK;Alfajor Triple Milka Mousse Blanco 55g;$586;;;Precio regular: $10.654,55 x kg;24023
CUISINE & CO NBE MP;Aceite De Oliva Virgen 500ml Cuisine & Co;$7.374,38;;;Precio regular: $14.748,76 x lt;352424
FLOW;Barra Flow Almendras Enteras Con Piso De Chocolate X30g;$195,94;;;Precio regular: $653,13 x 100 gr.;351991
LA VIRGINIA;Cafe La Virginia Capsulas Sutil X52g;$3.781;;;Precio regular: $378,10 x un;346855
STARBUCKS;Starbucks® Nespresso® Espresso Roast X 10un;$4.185,47;;;Precio regular: $418,55 x un;312511
Molinos Ala;Tostadas Arroz Molinos Ala Integ X150g;$616,19;;;Precio regular: $4.107,93 x kg;306789
